EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,PerformanceRating,OverTime,Attrition,TrainingTimesLastYear,WorkLifeBalance
1001,50,Male,IT,Manager,142364,18,3,4,Yes,No,8,4
1002,36,Female,Sales,Analyst,112819,9,1,5,Yes,Yes,9,2
1003,29,Male,Finance,Specialist,180933,1,5,5,No,No,3,3
1004,42,Male,IT,Executive,222789,16,3,3,No,No,9,2
1005,40,Female,Sales,Manager,183552,24,4,3,Yes,No,4,1
1006,44,Female,Marketing,Specialist,48637,23,3,4,Yes,No,2,1
1007,32,Male,HR,Specialist,74621,12,1,3,Yes,No,7,4
1008,32,Female,Sales,Specialist,221376,10,1,1,No,No,2,2
1009,45,Female,HR,Manager,77431,15,5,4,No,No,3,2
1010,57,Male,Marketing,Executive,129937,19,4,4,No,No,9,4
1011,45,Male,Sales,Specialist,249993,6,5,2,Yes,No,6,1
1012,24,Male,Finance,Manager,86172,2,4,2,No,No,1,3
1013,43,Male,IT,Analyst,55437,15,4,1,Yes,No,0,3
1014,23,Female,Sales,Manager,169221,18,5,4,No,No,3,1
1015,45,Female,Marketing,Manager,175743,19,3,4,Yes,No,7,4
1016,51,Male,Sales,Manager,53119,15,2,2,No,No,0,4
1017,59,Male,HR,Specialist,207189,1,4,5,No,No,9,3
1018,23,Male,Operations,Manager,177351,13,1,5,No,No,2,3
1019,42,Female,Sales,Analyst,98835,19,5,2,Yes,No,3,1
1020,54,Male,Finance,Specialist,165875,9,3,3,No,Yes,3,1
1021,33,Female,Sales,Analyst,243969,18,4,4,No,Yes,2,2
1022,43,Male,IT,Coordinator,90805,23,3,1,Yes,No,2,1
1023,46,Male,Sales,Manager,48201,10,5,5,Yes,Yes,6,1
1024,48,Male,Operations,Specialist,58634,17,1,3,No,No,7,3
1025,49,Female,HR,Specialist,175832,10,4,4,Yes,No,9,3
1026,37,Female,Sales,Manager,171898,8,4,3,No,No,3,2
1027,36,Female,Finance,Executive,116821,18,3,4,Yes,No,7,3
1028,24,Male,Marketing,Executive,75775,19,5,4,No,No,7,3
1029,58,Female,Sales,Analyst,156546,9,2,2,No,No,5,3
1030,28,Female,Sales,Manager,144090,2,4,2,Yes,No,0,1
1031,42,Male,IT,Manager,104676,2,1,1,No,No,6,3
1032,30,Male,Finance,Coordinator,36798,23,4,1,No,No,6,4
1033,39,Female,Operations,Executive,227175,7,4,3,Yes,No,4,1
1034,25,Female,Marketing,Executive,107160,5,2,2,No,No,5,3
1035,46,Female,HR,Manager,107751,19,2,4,No,No,8,1
1036,35,Female,Sales,Analyst,234574,0,5,2,Yes,Yes,2,3
1037,30,Male,Operations,Manager,212482,19,4,4,No,No,3,2
1038,47,Male,Marketing,Analyst,70888,23,4,2,No,No,8,2
1039,23,Male,HR,Executive,79047,5,3,4,Yes,No,9,2
1040,41,Female,Operations,Coordinator,139640,1,3,3,No,Yes,1,3
1041,49,Female,Finance,Specialist,132614,18,1,2,No,No,8,2
1042,28,Male,Finance,Executive,75955,6,1,5,No,No,4,1
1043,29,Male,Marketing,Analyst,163054,10,3,5,Yes,No,2,2
1044,56,Female,HR,Manager,194936,10,1,4,No,No,7,2
1045,35,Female,Finance,Executive,151298,3,4,3,No,No,8,2
